batch_size,block_1,block_2,block_3,dropout_rate,growth_rate,init_features,lr,out_activation,weight_decay,job_id,objective,timestamp_submit,timestamp_gather
29,3,6,5,0.06524323819633483,26,10,0.0012080964774040992,relu,0.0015691845074796175,41,-9.060786218256276,4909.61199426651,5162.821741819382
29,3,6,5,0.09110072260217623,27,11,0.0008758964635569366,relu,0.0022707576844756445,40,-28.874885117555912,4873.615953922272,5171.587411165237
34,5,6,4,0.36010051205214155,29,22,0.00026943003134034024,softplus,0.0009456368223240424,42,-4.244634053874769,5164.107413291931,5466.718342542648
29,5,6,5,0.33859644375812076,28,12,0.0005228373585331986,relu,0.0023118185181501805,43,-8.632488028975235,5173.330760478973,5508.37996339798
28,3,6,5,0.1468769671051154,21,9,0.00012989374756227053,relu,0.001998729396896054,44,-10.11968138604079,5467.347598552704,5747.388071060181
36,3,4,4,0.09285967500518862,27,9,0.00017522187574473596,relu,0.0005678679614548605,45,-4.259548310658325,5509.0076451301575,5772.178889989853
38,4,6,4,0.11404956839986294,30,64,0.00028301452650088065,softplus,0.0011605942699056526,46,-5.055166181244169,5748.01885342598,6057.55472779274
47,5,6,4,0.15987645996770264,26,54,0.00027103245109689415,softplus,0.003733332793462704,47,-6.220871838378868,5772.92299079895,6082.183891773224
19,3,4,5,0.21406115568718292,30,8,0.006241027375381646,relu,0.0004456102724849443,48,-27.866457083122445,6058.1872634887695,6360.693608522415
26,3,4,4,0.13299084896890803,28,31,0.0003768474825247537,relu,0.0007009721968398168,49,-7.200441215074568,6082.813976764679,6395.156968355179
46,3,4,5,0.05870675070329169,24,9,0.009043910432102384,relu,0.00017587664094747068,51,-28.874884748281083,6395.922071218491,6625.924193382263
13,3,4,5,0.11185368962521061,27,8,0.0018124677382265284,relu,0.0013244966298384883,50,-4.279755992303825,6361.327338933945,6672.589994907379
58,5,6,5,0.29564742636297026,29,8,0.0002378566872999483,sigmoid,0.003950282535368925,52,-28.551824796910218,6626.556452512741,6933.257774114609
44,3,4,5,0.017892189146329677,23,17,0.00039123649960341505,relu,0.00012681155922748385,53,-5.9879112332903475,6673.227560520172,6966.802482366562
